filename,rms_wfe,pv_wfe,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,coeff_21,coeff_22,coeff_23,coeff_24,coeff_25,coeff_26,coeff_27
19.csv,147.43565699798737,804.173,0.4808075243943223,54.54007403276789,-44.939133896167036,-0.749985073571187,-0.3055988765319366,-1.1643218703307747,-0.1944808169988841,2.1117771051944594,-0.25612897784042055,-1.489974769356671,0.4698211135461321,0.2738780396892895,0.038565473405177464,-0.17817667970137308,-0.02732891713232588,-0.8299933931216383,0.0679772213999641,0.5509203855979212,0.26192950340280685,0.7517385847104823,-0.13252914467199606,-0.11789207107060307,0.07412931367549902,-0.04179482362238085,0.06869677186824719,0.03768338939903515,-0.015376833012755498
2.csv,125.2614827904491,609.798,-1.0256481292432196,50.850389705541026,-7.6575053640182915,-0.6414502781828268,-0.36063115032936244,-1.475700246242017,0.14849006692493116,1.9927788738532808,-0.39247701844987937,-1.3640682988589763,0.5915250899905828,0.1892640874540671,0.17670898252069112,-0.012342281869546667,-0.03837092730750813,-0.8348056574438143,-0.03768754923601492,0.5738744109578073,0.2035698950684548,0.8353288293734824,0.12579050828340232,-0.12627591932029958,-0.07531009851877002,-0.029090021444305503,0.0964048007076963,0.023316448298036363,0.1182656860050173
20.csv,148.07334755595667,791.789,0.6333969451235645,55.031008320339254,-44.76200834541031,-0.6013684839480273,-0.06880753984155419,-1.279329605892468,-0.16129521078053344,2.2111846976306033,-0.250990859105122,-1.58832765868274,0.5345763021430354,0.2919439758020028,-0.022810181225393578,-0.1943451338332558,-0.0866214295716401,-0.8943394665977085,0.07033650194129137,0.6128049926624666,0.24176452673847937,0.8601320949863442,-0.16276327060858975,-0.11957334795897268,0.06438465377777991,-0.04041802689425955,0.09735898867773374,0.06632185152289338,-0.030763846661390204
3.csv,143.3440045904692,788.1769999999999,0.6254182273337223,52.359632837498935,-45.6380115924247,-0.6567179925729647,-0.20663563120210515,-0.9145035747073068,-0.38738033203299427,1.590856926127385,-0.5438597936806513,-1.268613708555618,0.48374487931411103,0.18163948134706676,0.09910400447467183,-0.190243348954521,-0.025528489304433855,-0.6599707972594064,0.09223102517607273,0.5203426060824903,0.3254536712156173,0.6455114246357159,-0.18379896504736504,-0.12801553474583116,0.039491086863617575,-0.01864310761536303,0.0373340348874196,0.034096814207789095,0.07830284384441377
4.csv,144.26039203215387,789.318,0.5425703356332096,53.081134156739765,-45.29745453172603,-0.7327008996037137,-0.16791573614102795,-1.106645438859868,-0.3513849471689978,1.7655401710958252,-0.265912331432105,-1.5112980651332037,0.4452813680412042,0.3178792104467165,0.09427622413916836,-0.2453233894550344,-0.10367057767421572,-0.7017041325626376,0.005112988152175646,0.49139295771020564,0.373424014461059,0.7205908794746101,-0.1638526411404264,-0.1536508611265539,0.08508286123266107,0.018452099889608276,-0.018397255127501566,-0.016486470213006754,0.11413490768281065
5.csv,145.22615618791082,796.96,0.1032485918691626,53.47578548140433,-45.623058946279464,-0.9626539416883872,-0.08299291926832719,-0.9319172519173305,-0.32232182893329586,1.867623556859316,-0.06094055965939482,-1.463919014714488,0.46550556447567715,0.30249729183893015,0.050685072143550336,-0.3537908879231324,-0.13841068844459858,-0.7252203039947371,0.01803182173882334,0.4831778309645234,0.37290705731796514,0.8425875529477675,-0.23171822321799063,-0.16994957439038672,0.0889659962558742,0.040160954157972606,-0.05730732526732529,-0.03643177056957825,0.14543202729231552
6.csv,146.73433365609438,803.917,-0.4347625152444393,54.14135544141388,-46.73876958484689,-1.5178252871077564,-0.11203530973354958,-0.0692069184321491,-1.146019365257093,2.0496353794915336,0.6251426155721189,-1.5225053980377847,0.16994143187549682,0.8388124486476571,0.05897630938944953,-0.8128269571813469,-0.10286681694889088,-0.7938420953632583,-0.2716020050703687,0.4847513311895266,0.6649536714728126,0.7941126909939697,-0.5947611397565113,-0.28155566547665956,0.06453042136846499,0.16215262038026368,-0.019934938216070286,-0.1394497944712647,0.0549462767748814
7.csv,146.2234087447276,789.158,0.4268046889691263,53.924719484999834,-45.12378462545931,-0.7373887964171928,-0.18667102974256888,-1.0867058253263298,-0.2196993010373518,1.9558258187480018,-0.258798670074599,-1.4770409911876676,0.5276538410619196,0.24196280506703194,0.024581405023869074,-0.10210400954487753,-0.05081653637602024,-0.7844585583790558,0.05630470741319016,0.557367042026355,0.27465386491530897,0.7461486721502322,-0.12673931910353442,-0.12315870465451795,0.06335829288032357,-0.01901998399080207,0.04376608937386717,0.028092523197820185,0.020324492921528048
8.csv,145.9112889091499,788.761,0.2983821346926573,54.00793875781833,-45.09627249468486,-0.8147994196272865,-0.1802051621051799,-1.3263032246947728,-0.18478691362226485,1.9597621024981677,-0.12996343403118438,-1.436543376520726,0.535092268693603,0.2098407762984893,0.03820446899216545,-0.241353682983533,-0.15305917307310635,-0.7971903961426356,0.042558281940630494,0.5320021291725272,0.20122861431753325,0.7549476740326604,-0.05755267598348368,-0.1076750447582171,0.0877619412438273,0.011239604574483808,0.06413538600216606,0.11365454327614088,0.042960182587474804
9.csv,146.82823177709622,793.072,0.3677702438893786,54.26917775986232,-44.98160624037352,-0.7321687610257772,-0.050378166434066785,-1.3227002676353317,-0.17650738514957265,1.997078323875769,-0.34151594704883514,-1.3341618848323584,0.5610800393131061,0.23257808387699752,-0.019343499274310894,-0.11543404131458246,-0.08519130379356721,-0.8180386963116391,0.04470882492786821,0.5631121377262076,0.2586387377372583,0.7844553866662114,-0.045310808565651506,-0.13624753403591328,0.07232513999294454,-0.013429450944833166,0.02323758705783563,0.07583271671079928,0.017521589614204913
MEAN_WAVEFRONT,,,0.2399825962104955,53.688661309629666,-43.44485203871147,-0.8735761376482181,-0.19654842661779615,-1.0042509961008783,-0.3626191912075898,1.9576304293020357,-0.12446039892415772,-1.4869860949665892,0.4435808793424325,0.3476529596853535,0.07584999918581126,-0.31358644272747327,-0.13337199622043583,-0.7649275094061263,-0.017493177217453137,0.5222273659630421,0.34692918361157643,0.8140958586195506,-0.20193070874994667,-0.15139670230188784,0.07466590555406505,0.020163854135587078,0.018428744420762477,0.002414233947618527,0.08394127801241424
