X_mm,Y_mm,WF_mean_µm
0.15,2.7,-66.76739999999998
0.3,2.7,-60.44095000000002
0.45,2.7,-54.200099999999985
0.6,2.7,-47.977
0.75,2.7,-41.808299999999996
0.9,2.7,-35.663850000000004
1.05,2.7,-29.545650000000002
1.2,2.7,-23.455399999999997
1.35,2.7,-17.437900000000003
1.5,2.7,-11.50005
1.65,2.7,-5.679250000000001
1.8,2.7,0.030650000000000243
1.95,2.7,5.5974
2.1,2.7,11.0136
2.25,2.7,16.28925
2.4,2.7,21.4351
2.55,2.7,26.470000000000006
2.7,2.7,31.40315
2.85,2.7,36.2606
3.0,2.7,41.0697
3.15,2.7,45.86339999999999
3.3,2.7,50.66715
3.45,2.7,55.50605
3.6,2.7,60.40685
3.75,2.7,65.38565
3.9,2.7,70.45570000000001
4.05,2.7,75.62245000000001
4.2,2.7,80.89005
4.35,2.7,86.25565000000002
4.5,2.7,91.70899999999999
4.65,2.7,97.24425
4.8,2.7,102.85095000000001
4.95,2.7,108.52074999999998
5.1,2.7,114.24864999999997
5.25,2.7,120.02435
5.4,2.7,
,2.7,
-5.4,2.55,
-5.25,2.55,
-5.1,2.55,-382.68880000000007
-4.95,2.55,-369.5613
-4.8,2.55,-356.5498000000001
-4.65,2.55,-343.79205
-4.5,2.55,-331.2969499999999
-4.35,2.55,-319.0686999999999
-4.2,2.55,-307.11275
-4.05,2.55,-295.4344500000001
-3.9,2.55,-284.04630000000003
-3.75,2.55,-272.93999999999994
-3.6,2.55,-262.125
-3.45,2.55,-251.60440000000003
-3.3,2.55,-241.37534999999997
-3.15,2.55,-231.43620000000004
-3.0,2.55,-221.78409999999994
-2.85,2.55,-212.41195000000002
-2.7,2.55,-203.30665000000005
-2.55,2.55,-194.45884999999996
-2.4,2.55,-185.85254999999998
-2.25,2.55,-177.47125
-2.1,2.55,-169.29489999999996
-1.95,2.55,-161.3039
-1.8,2.55,-153.47865000000002
-1.65,2.55,-145.80165000000002
-1.5,2.55,-138.26045000000005
-1.35,2.55,-130.8412
