X_mm,Y_mm,WF_mean_µm
1.05,2.85,-32.352000000000004
1.2,2.85,-26.57425
1.35,2.85,-20.818350000000002
1.5,2.85,-15.1221
1.65,2.85,-9.5287
1.8,2.85,-4.0657999999999985
1.95,2.85,1.2461500000000003
2.1,2.85,6.4004
2.25,2.85,11.404300000000001
2.4,2.85,16.265150000000002
2.55,2.85,20.995449999999998
2.7,2.85,25.61605
2.85,2.85,30.153450000000003
3.0,2.85,34.6289
3.15,2.85,39.080850000000005
3.3,2.85,43.528400000000005
3.45,2.85,47.99600000000001
3.6,2.85,52.506949999999996
3.75,2.85,57.073249999999994
3.9,2.85,61.71480000000001
4.05,2.85,66.43435000000001
4.2,2.85,71.24010000000001
4.35,2.85,76.13180000000001
4.5,2.85,81.10329999999998
4.65,2.85,86.15085000000002
4.8,2.85,91.26695000000001
4.95,2.85,96.44755
5.1,2.85,101.69264999999999
5.25,2.85,106.99300000000001
5.4,2.85,
,2.85,
-5.4,2.7,
-5.25,2.7,
-5.1,2.7,-373.3501999999999
-4.95,2.7,-360.35075000000006
-4.8,2.7,-347.53330000000005
-4.65,2.7,-334.99105
-4.5,2.7,-322.7336
-4.35,2.7,-310.76900000000006
-4.2,2.7,-299.10265
-4.05,2.7,-287.73979999999995
-3.9,2.7,-276.6929999999999
-3.75,2.7,-265.96174999999994
-3.6,2.7,-255.54975000000005
-3.45,2.7,-245.45734999999996
-3.3,2.7,-235.683
-3.15,2.7,-226.22185000000007
-3.0,2.7,-217.06529999999998
-2.85,2.7,-208.19800000000004
-2.7,2.7,-199.6019
-2.55,2.7,-191.25765
-2.4,2.7,-183.13635
-2.25,2.7,-175.2135
-2.1,2.7,-167.45875
-1.95,2.7,-159.84485
-1.8,2.7,-152.34935000000002
-1.65,2.7,-144.95510000000002
-1.5,2.7,-137.65075000000002
-1.35,2.7,-130.43155
-1.2,2.7,-123.29144999999998
-1.05,2.7,-116.23004999999998
-0.9,2.7,-109.24510000000001
-0.75,2.7,-102.33855000000001
-0.6,2.7,-95.52255
-0.45,2.7,-88.80910000000003
-0.3,2.7,-82.22610000000002
-0.15,2.7,-75.79400000000001
0.0,2.7,-69.55775000000001
0.15,2.7,-63.61089999999998
0.3,2.7,-57.72974999999999
0.45,2.7,-51.87265
0.6,2.7,-46.023399999999995
0.75,2.7,-40.184400000000004
0.9,2.7,-34.3445
1.05,2.7,-28.519500000000004
1.2,2.7,-22.6892
1.35,2.7,-16.896700000000003
1.5,2.7,-11.19925
1.65,2.7,-5.6485
1.8,2.7,-0.2563499999999998
1.95,2.7,4.9699
2.1,2.7,10.03245
2.25,2.7,14.943999999999999
2.4,2.7,19.7202
2.55,2.7,24.3865
2.7,2.7,28.958899999999993
2.85,2.7,33.467850000000006
3.0,2.7,37.94325
3.15,2.7,42.4178
3.3,2.7,46.9143
3.45,2.7,51.4543
3.6,2.7,56.06099999999999
3.75,2.7,60.746150000000014
3.9,2.7,65.51955
4.05,2.7,70.382
4.2,2.7,75.33505
4.35,2.7,80.37359999999998
4.5,2.7,85.48709999999998
4.65,2.7,90.6705
4.8,2.7,95.91625000000002
4.95,2.7,101.21990000000001
5.1,2.7,106.58110000000002
5.25,2.7,111.9953
5.4,2.7,
,2.7,
-5.4,2.55,
-5.25,2.55,
-5.1,2.55,-363.36154999999997
-4.95,2.55,-350.45144999999997
-4.8,2.55,-337.75115
-4.65,2.55,-325.3182499999999
-4.5,2.55,-313.16319999999996
-4.35,2.55,-301.29290000000003
-4.2,2.55,-289.7145
-4.05,2.55,-278.4357999999999
-3.9,2.55,-267.4713
-3.75,2.55,-256.81515
-3.6,2.55,-246.47810000000004
-3.45,2.55,-236.46529999999998
-3.3,2.55,-226.77515000000002
-3.15,2.55,-217.40605
-3.0,2.55,-208.35455000000002
-2.85,2.55,-199.61194999999998
-2.7,2.55,-191.16110000000003
-2.55,2.55,-182.9871
-2.4,2.55,-175.0658
-2.25,2.55,-167.37080000000003
-2.1,2.55,-159.87095
-1.95,2.55,-152.53535
-1.8,2.55,-145.33530000000002
-1.65,2.55,-138.24665
-1.5,2.55,-131.25544999999997
-1.35,2.55,-124.35060000000001
-1.2,2.55,-117.5288
-1.05,2.55,-110.78655
-0.9,2.55,-104.1192
-0.75,2.55,-97.52055
-0.6,2.55,-90.99405
-0.45,2.55,-84.55115
-0.3,2.55,-78.21535
-0.15,2.55,-71.98320000000001
0.0,2.55,-65.90944999999999
0.15,2.55,-60.03315
0.3,2.55,-54.158899999999996
0.45,2.55,-48.271499999999996
0.6,2.55,-42.37415
0.75,2.55,-36.48374999999999
0.9,2.55,-30.587650000000007
1.05,2.55,-24.718449999999997
1.2,2.55,-18.8289
1.35,2.55,-13.01635
1.5,2.55,-7.3554
1.65,2.55,-1.889
1.8,2.55,3.4020999999999995
1.95,2.55,8.526499999999999
2.1,2.55,13.488699999999998
2.25,2.55,18.309949999999997
2.4,2.55,23.015299999999996
2.55,2.55,27.629600000000003
2.7,2.55,32.174899999999994
2.85,2.55,36.6793
3.0,2.55,41.17705
3.15,2.55,45.70054999999999
3.3,2.55,50.27274999999999
3.45,2.55,54.910900000000005
3.6,2.55,59.63645
3.75,2.55,64.45795
3.9,2.55,69.37715
4.05,2.55,74.39314999999999
4.2,2.55,79.49549999999999
4.35,2.55,84.67879999999998
4.5,2.55,89.9299
4.65,2.55,95.24355
4.8,2.55,100.61300000000001
4.95,2.55,106.03365000000001
5.1,2.55,111.50549999999998
5.25,2.55,117.02835
5.4,2.55,
,2.55,
-5.4,2.4,
-5.25,2.4,
-5.1,2.4,-353.6248
-4.95,2.4,-340.81674999999996
-4.8,2.4,-328.2408
-4.65,2.4,-315.92719999999997
-4.5,2.4,-303.88315
-4.35,2.4,-292.1149999999999
-4.2,2.4,-280.63205
-4.05,2.4,-269.43919999999997
-3.9,2.4,-258.55730000000005
-3.75,2.4,-247.97899999999998
-3.6,2.4,-237.71565
-3.45,2.4,-227.77434999999997
-3.3,2.4,-218.1591
-3.15,2.4,-208.87045000000003
-3.0,2.4,-199.90759999999997
-2.85,2.4,-191.26584999999997
-2.7,2.4,-182.93394999999998
-2.55,2.4,-174.90329999999997
-2.4,2.4,-167.15140000000002
-2.25,2.4,-159.65680000000003
-2.1,2.4,-152.3892
-1.95,2.4,-145.31410000000002
-1.8,2.4,-138.39745
-1.65,2.4,-131.60819999999998
-1.5,2.4,-124.92624999999998
-1.35,2.4,-118.33350000000003
-1.2,2.4,-111.82765000000002
-1.05,2.4,-105.40805
