X_mm,Y_mm,WF_mean_µm
-4.5,2.1,-293.46320000000003
-4.35,2.1,-282.129
-4.2,2.1,-271.0848
-4.05,2.1,-260.33695
-3.9,2.1,-249.90435000000002
-3.75,2.1,-239.78324999999995
-3.6,2.1,-229.98190000000005
-3.45,2.1,-220.50259999999997
-3.3,2.1,-211.34890000000001
-3.15,2.1,-202.51999999999998
-3.0,2.1,-194.00930000000002
-2.85,2.1,-185.8165
-2.7,2.1,-177.93335000000002
-2.55,2.1,-170.35554999999997
-2.4,2.1,-163.07825000000003
-2.25,2.1,-156.09135
-2.1,2.1,-149.37870000000004
-1.95,2.1,-142.9144
-1.8,2.1,-136.66084999999998
-1.65,2.1,-130.56815
-1.5,2.1,-124.59224999999999
-1.35,2.1,-118.71124999999999
-1.2,2.1,-112.93985000000002
-1.05,2.1,-107.1575
-0.9,2.1,-101.33539999999999
-0.75,2.1,-95.39620000000001
-0.6,2.1,-89.44525
-0.45,2.1,-83.4748
-0.3,2.1,-77.61999999999999
-0.15,2.1,-71.83675000000001
0.0,2.1,-65.67165000000001
0.15,2.1,-58.68000000000001
0.3,2.1,-52.1869
0.45,2.1,-45.85880000000001
0.6,2.1,-39.68000000000001
0.75,2.1,-33.6499
0.9,2.1,-27.77754999999999
1.05,2.1,-22.051799999999993
1.2,2.1,-16.461149999999996
1.35,2.1,-10.971100000000002
1.5,2.1,-5.610500000000001
1.65,2.1,-0.2296999999999997
1.8,2.1,5.0445
1.95,2.1,10.3959
2.1,2.1,15.691849999999999
2.25,2.1,20.9814
2.4,2.1,26.292700000000004
2.55,2.1,31.6584
2.7,2.1,37.101800000000004
2.85,2.1,42.6369
3.0,2.1,48.2676
3.15,2.1,53.9956
3.3,2.1,59.807349999999985
3.45,2.1,65.69265
3.6,2.1,71.63805
3.75,2.1,77.63404999999999
3.9,2.1,83.66400000000002
4.05,2.1,89.72375000000001
4.2,2.1,95.80330000000001
4.35,2.1,101.90195000000001
4.5,2.1,108.01325
4.65,2.1,114.14569999999999
4.8,2.1,120.30245000000002
4.95,2.1,126.49094999999997
5.1,2.1,132.7244
5.25,2.1,139.0045
5.4,2.1,
,2.1,
-5.4,1.95,
-5.25,1.95,
-5.1,1.95,-333.6538
-4.95,1.95,-321.37489999999997
-4.8,1.95,-309.34469999999993
-4.65,1.95,-297.5730500000001
-4.5,1.95,-286.06874999999997
-4.35,1.95,-274.83865
-4.2,1.95,-263.8909
-4.05,1.95,-253.23179999999996
-3.9,1.95,-242.87875
-3.75,1.95,-232.83335000000002
-3.6,1.95,-223.10545000000002
-3.45,1.95,-213.69955
-3.3,1.95,-204.61940000000004
-3.15,1.95,-195.86515
-3.0,1.95,-187.4338
-2.85,1.95,-179.32635000000002
-2.7,1.95,-171.53245
-2.55,1.95,-164.05165000000002
-2.4,1.95,-156.87969999999999
-2.25,1.95,-150.0126
-2.1,1.95,-143.445
-1.95,1.95,-137.16405000000003
-1.8,1.95,-131.14435
-1.65,1.95,-125.33619999999999
-1.5,1.95,-119.65965000000001
-1.35,1.95,-114.01775
-1.2,1.95,-108.39949999999999
-1.05,1.95,-102.64445
-0.9,1.95,-96.79945000000001
-0.75,1.95,-90.8341
-0.6,1.95,-84.81985000000002
-0.45,1.95,-78.77394999999999
-0.3,1.95,-72.772
-0.15,1.95,-66.8272
0.0,1.95,-60.57459999999999
0.15,1.95,-53.835750000000004
0.3,1.95,-47.4771
0.45,1.95,-41.26025
0.6,1.95,-35.200100000000006
0.75,1.95,-29.327000000000005
0.9,1.95,-23.609
1.05,1.95,-18.07145
1.2,1.95,-12.671399999999998
1.35,1.95,-7.424000000000002
1.5,1.95,-2.3006999999999995
1.65,1.95,2.8173000000000004
1.8,1.95,7.94375
1.95,1.95,13.215849999999998
2.1,1.95,18.52515
2.25,1.95,23.8674
2.4,1.95,29.2649
2.55,1.95,34.748250000000006
2.7,1.95,40.331900000000005
2.85,1.95,46.01944999999999
3.0,1.95,51.80024999999999
3.15,1.95,57.675
3.3,1.95,63.6265
3.45,1.95,69.6416
3.6,1.95,75.70305
3.75,1.95,81.80125000000001
3.9,1.95,87.92495
4.05,1.95,94.06880000000004
4.2,1.95,100.22945
4.35,1.95,106.40585000000002
4.5,1.95,112.59595000000002
4.65,1.95,118.80969999999999
4.8,1.95,125.05269999999999
4.95,1.95,131.3322
5.1,1.95,137.66160000000002
5.25,1.95,144.04655
5.4,1.95,
,1.95,
-5.4,1.8,
-5.25,1.8,
-5.1,1.8,-326.16345
-4.95,1.8,-314.02845
-4.8,1.8,-302.13429999999994
-4.65,1.8,-290.4906500000001
-4.5,1.8,-279.10540000000003
-4.35,1.8,-267.98545
-4.2,1.8,-257.13935000000004
-4.05,1.8,-246.57455000000004
-3.9,1.8,-236.30875
-3.75,1.8,-226.34390000000002
-3.6,1.8,-216.69115000000002
-3.45,1.8,-207.35694999999996
-3.3,1.8,-198.34685
-3.15,1.8,-189.66429999999997
-3.0,1.8,-181.30825000000002
-2.85,1.8,-173.27885
-2.7,1.8,-165.56730000000002
-2.55,1.8,-158.17360000000002
-2.4,1.8,-151.09300000000002
-2.25,1.8,-144.32305
-2.1,1.8,-137.86320000000003
-1.95,1.8,-131.71524999999997
-1.8,1.8,-125.87584999999999
-1.65,1.8,-120.32674999999999
-1.5,1.8,-114.84805000000001
-1.35,1.8,-109.29085
-1.2,1.8,-103.66244999999999
-1.05,1.8,-97.90974999999999
-0.9,1.8,-92.12499999999999
-0.75,1.8,-86.21974999999999
-0.6,1.8,-80.20309999999999
-0.45,1.8,-74.14004999999999
-0.3,1.8,-68.0336
-0.15,1.8,-61.9363
0.0,1.8,-55.608999999999995
0.15,1.8,-49.0471
0.3,1.8,-42.81845000000001
0.45,1.8,-36.7335
0.6,1.8,-30.76260000000001
0.75,1.8,-25.0366
0.9,1.8,-19.5246
1.05,1.8,-14.174150000000001
1.2,1.8,-8.960199999999999
1.35,1.8,-3.938
1.5,1.8,1.0173
1.65,1.8,6.001150000000001
1.8,1.8,11.0245
1.95,1.8,16.157850000000003
2.1,1.8,21.439549999999997
2.25,1.8,26.856150000000003
2.4,1.8,32.37045
2.55,1.8,38.0041
2.7,1.8,43.751050000000006
2.85,1.8,49.59865
3.0,1.8,55.535349999999994
3.15,1.8,61.55505000000001
3.3,1.8,67.63759999999999
3.45,1.8,73.76835
3.6,1.8,79.9322
3.75,1.8,86.1206
3.9,1.8,92.32725
4.05,1.8,98.54809999999998
4.2,1.8,104.78535
4.35,1.8,111.03519999999999
4.5,1.8,117.3049
4.65,1.8,123.60305000000001
4.8,1.8,129.93569999999997
4.95,1.8,136.31255000000004
5.1,1.8,142.7448
5.25,1.8,149.23774999999998
5.4,1.8,
,1.8,
-5.4,1.65,
-5.25,1.65,
-5.1,1.65,-319.20660000000004
-4.95,1.65,-307.2231499999999
-4.8,1.65,-295.4752500000001
-4.65,1.65,-283.96979999999996
-4.5,1.65,-272.71304999999995
-4.35,1.65,-261.71189999999996
-4.2,1.65,-250.97745
-4.05,1.65,-240.51515000000003
-3.9,1.65,-230.34230000000002
-3.75,1.65,-220.46259999999998
-3.6,1.65,-210.88795
-3.45,1.65,-201.62830000000002
-3.3,1.65,-192.68710000000004
-3.15,1.65,-184.07240000000002
-3.0,1.65,-175.78654999999998
-2.85,1.65,-167.83065000000005
-2.7,1.65,-160.19684999999998
-2.55,1.65,-152.88509999999997
-2.4,1.65,-145.89090000000002
-2.25,1.65,-139.20775
-2.1,1.65,-132.83035
-1.95,1.65,-126.7665
-1.8,1.65,-121.02940000000001
-1.65,1.65,-115.50934999999997
-1.5,1.65,-109.9668
-1.35,1.65,-104.3649
-1.2,1.65,-98.71905
-1.05,1.65,-93.01749999999998
-0.9,1.65,-87.27579999999999
-0.75,1.65,-81.43870000000001
-0.6,1.65,-75.46605
-0.45,1.65,-69.43445
-0.3,1.65,-63.3344
-0.15,1.65,-57.158950000000004
0.0,1.65,-50.79619999999999
